;CreditSum;sex;age;EducationStatus;kolichestvo_rabotnikov_v_organizacii;Employment;OrgStanding_N;kolichestvo_detej_mladshe_18;Residence;ConfirmedMonthlyIncome (Target)
56;1300000.0;1;51;2;3;2;28.916665999999996;0;1;71546.0
57;500000.0;1;24;4;3;1;0.25;0;1;25336.12
58;580000.0;1;38;2;2;1;7.5;2;0;25434.74
59;130000.0;0;43;4;1;1;5.0;0;1;22458.17
60;31000.0;1;47;4;3;1;9.416666000000001;1;1;107197.01
61;327875.0;1;38;4;3;4;15.0;1;1;213286.8
62;1216545.38;1;52;2;1;2;10.583333;0;0;44225.0
63;600425.0;1;38;2;1;3;4.5;3;0;81747.43
64;300000.0;0;25;4;2;3;1.583333;0;1;24123.98
65;1265916.69;0;29;4;2;1;4.166666;2;0;32963.56
66;35000.0;0;23;2;3;1;0.416666;0;1;26430.55
67;209523.71;0;45;2;2;1;4.0;1;0;17226.35
68;31000.0;0;30;4;3;1;1.583333;0;1;64064.14
69;31000.0;0;46;4;3;2;6.5;0;1;28461.24
70;547013.0;1;61;2;2;1;9.0;0;0;38033.5
71;200000.0;1;27;2;3;1;3.25;1;1;32304.6
72;935000.0;0;32;2;0;1;8.0;1;0;40000.0
73;243638.29;1;44;4;2;1;24.0;1;1;46864.7
74;50000.0;0;35;4;0;1;2.166666;1;0;30602.9
75;107500.0;0;45;4;1;1;3.5;0;0;9711.81
76;524700.0;1;42;2;1;3;14.0;1;1;36333.24
77;999900.0;1;52;5;1;3;8.0;0;1;141073.87
78;365902.99;0;52;4;0;3;24.0;1;1;91377.36
79;432688.0;1;39;3;3;1;8.0;1;1;44270.58
80;153000.0;1;53;4;2;4;7.0833330000000005;1;0;105676.88
81;298357.14;1;34;4;2;1;1.166666;0;1;94479.75
82;553737.35;1;35;4;2;3;12.083333;3;0;58964.77
83;757080.0;1;32;4;3;4;4.5;2;1;95381.0
84;778800.0;0;28;4;3;1;5.5;0;1;34498.61
85;505000.0;0;27;4;3;3;1.333333;1;1;70356.65
86;626000.0;1;40;3;0;3;2.0;1;0;56825.5
87;101000.0;1;39;2;2;1;14.0;0;0;43889.0
88;107083.0;1;62;4;3;3;1.0;0;1;29020.42
89;31000.0;0;24;4;3;1;1.5;0;1;35058.74
90;205000.0;0;46;4;0;1;3.5;0;0;18414.74
91;900000.0;1;35;4;2;3;11.166666000000001;2;0;38100.53
92;1591900.0;1;43;4;1;4;7.75;2;0;47743.47
93;50000.0;1;36;4;1;1;5.5;2;0;26289.57
94;551408.49;1;27;2;2;1;1.0;2;0;37232.87
95;701000.0;1;31;4;1;1;1.25;0;1;39139.41
96;701000.0;1;35;4;3;3;8.666666000000001;2;0;152639.5
97;659450.0;1;22;2;3;1;3.5;0;1;33196.05
98;564132.0;1;35;4;3;3;6.0;0;1;45040.98
99;369112.22;0;45;4;1;1;12.916666000000001;1;1;28219.32
100;107844.0;1;39;1;1;1;19.0;0;0;27628.19
101;31000.0;0;30;4;1;1;2.5;1;1;26419.09
102;505000.0;1;42;2;2;1;15.0;2;0;27973.88
103;500000.0;1;55;1;3;1;29.0;0;1;37044.4
104;50000.0;0;41;4;3;1;1.166666;0;1;25828.42
105;220000.0;0;21;4;2;1;2.75;0;0;30210.67
106;31000.0;1;33;4;3;1;1.333333;0;0;48977.23
107;31000.0;0;23;4;3;1;1.166666;0;1;31903.4
108;100000.0;1;43;1;0;1;14.833332999999998;1;1;28615.0
109;40000.0;1;38;4;2;1;2.666666;0;1;46791.0
110;504200.0;0;45;3;1;1;25.166666;1;1;22449.85
111;945400.0;1;30;4;2;1;6.0;1;1;40917.75
112;710000.0;0;55;4;1;2;19.0;0;1;26194.19
113;31000.0;0;27;4;3;1;1.416666;1;1;27815.2
114;585000.0;1;33;4;3;1;1.166666;0;0;23677.69
115;35000.0;0;55;2;3;1;24.0;0;1;23630.67
116;31000.0;0;29;4;2;2;11.0;1;0;22683.83
117;535350.0;0;31;4;3;1;7.0;0;1;60604.59
118;50000.0;0;34;4;3;1;6.416666;1;1;25992.7
119;361584.63;1;52;2;3;1;8.25;0;1;19718.34
120;1054893.97;0;50;4;2;3;1.25;0;1;60811.92
121;1000000.0;1;35;5;3;4;9.166666000000001;0;1;72259.79
122;823500.0;1;54;1;3;1;2.0;0;1;35983.08
123;576668.0;1;23;1;3;1;0.583333;1;1;33311.16
124;1500000.0;0;39;4;2;3;13.333332999999998;0;1;89506.7
125;513000.0;0;48;4;1;1;0.5;0;0;29670.0
126;300000.0;0;31;4;3;2;2.666666;0;1;65914.92
127;173912.7;0;35;4;1;3;5.0833330000000005;2;1;37297.22
128;217500.0;1;22;2;3;1;1.416666;0;1;21200.0
129;412000.0;1;40;1;3;1;3.25;1;1;42739.37
130;1362901.43;1;30;4;0;4;3.0;1;1;195264.17
131;1731046.87;1;34;4;3;1;3.75;2;1;91510.03
132;31000.0;0;35;4;3;1;10.0;1;1;41961.4
133;473502.0;0;33;2;2;1;6.166666;2;1;27818.34
134;113990.0;0;62;2;2;1;5.0;0;1;15348.76
135;31000.0;0;42;4;0;1;2.25;1;1;31470.98
136;712000.0;0;50;4;1;1;10.0;0;0;28511.46
137;50000.0;0;48;4;1;2;15.0;0;0;34261.94
138;630000.0;1;35;2;1;1;2.5;2;0;69351.19
139;31000.0;0;29;4;1;1;10.0;1;1;35839.1
140;847000.0;0;54;2;3;1;29.0;0;1;32706.92
141;301606.14;0;48;4;3;2;4.0;1;1;51918.19
142;168750.0;1;46;2;0;1;1.333333;0;0;20880.0
143;580363.24;0;30;4;1;1;12.0;0;1;32586.89
144;990000.0;0;37;2;2;2;10.166666000000001;2;0;43174.77
145;293200.0;0;44;4;1;1;12.083333;1;0;27156.49
146;803700.0;1;50;2;2;1;29.0;1;1;42033.37
147;710000.0;0;53;2;3;3;33.0;0;1;53925.68
148;50000.0;0;41;4;1;4;22.0;1;0;35368.36
149;112500.0;0;32;2;3;1;8.0;1;1;42166.66
150;31000.0;0;28;2;3;3;2.0;0;1;54179.37
151;710000.0;1;33;4;3;2;9.416666000000001;2;1;56348.0
152;501714.0;0;39;2;3;1;12.0;2;0;45973.4
153;31000.0;0;25;4;3;1;3.083333;1;1;22338.0
154;35000.0;0;32;4;3;1;0.25;1;1;31240.8
155;2016000.0;1;26;4;1;1;3.083333;0;1;64833.34
156;50000.0;0;27;4;3;1;0.5;1;1;22129.38
157;150762.84;0;23;4;3;1;2.0;0;1;27772.13
158;31000.0;0;52;2;1;1;19.0;0;1;29457.9
159;31000.0;0;41;4;3;3;18.666666;1;1;51650.73
160;268000.0;0;27;4;3;1;1.833333;0;1;54114.5
161;60000.0;1;42;4;3;3;1.5;2;1;45000.0
162;1000000.0;1;32;4;0;3;5.5;1;1;213183.67
163;1505292.13;0;34;4;2;3;13.0;1;0;82951.39
164;232748.95;1;48;2;1;1;3.083333;0;0;17636.35
165;50000.0;1;32;2;3;1;5.0;1;1;22611.41
166;100000.0;0;37;4;3;2;5.0833330000000005;0;1;25886.51
167;31000.0;1;29;4;3;1;1.0;0;1;24044.68
168;508000.0;0;24;4;2;1;2.083333;0;1;28905.83
169;35000.0;0;40;4;0;1;11.5;3;0;25632.11
170;31000.0;0;49;4;3;1;4.25;0;1;29837.99
171;100000.0;0;25;2;3;1;1.583333;0;1;31177.07
172;508000.0;1;43;2;2;1;3.0;0;1;26945.32
173;588800.0;0;54;2;3;1;25.0;0;1;38507.59
174;102708.0;1;32;2;2;1;0.583333;0;0;21607.94
175;461470.0;0;57;2;3;1;13.0;0;1;33714.18
176;135450.0;0;32;1;2;1;0.666666;0;1;30015.0
177;545218.47;1;34;4;2;1;7.0;0;1;15508.82
178;457313.0;1;44;2;0;1;4.0833330000000005;1;1;36904.0
179;1368000.0;1;52;2;2;2;28.416665999999996;0;0;43291.83
180;569250.0;1;30;2;3;1;2.583333;0;1;54227.7
